3,How did serfdom develop in and then leave Russia ?
4,What films featured the character Popeye Doyle ?
3,How can I find a list of celebrities ' real names ?
4,What fowl grabs the spotlight after the Chinese Year of the Monkey ?
5,What is the full form of .com ?
2,What contemptible scoundrel stole the cork from my lunch ?
2,What team did baseball 's St. Louis Browns become ?
2,What is the oldest profession ?
3,What are liver enzymes ?
2,Name the scar-faced bounty hunter of The Old West .
0,When was Ozzy Osbourne born ?
3,Why do heavier objects travel downhill faster ?
2,Who was The Pride of the Yankees ?
2,Who killed Gandhi ?
4,What is considered the costliest disaster the insurance industry has ever faced ?
1,What sprawling U.S. state boasts the most airports ?
3,What did the only repealed amendment to the U.S. Constitution deal with ?
0,How many Jews were executed in concentration camps during WWII ?
3,What is `` Nine Inch Nails '' ?
3,What is an annotated bibliography ?
0,What is the date of Boxing Day ?
4,What articles of clothing are tokens in Monopoly ?
2,Name 11 famous martyrs .
3,What 's the Olympic motto ?
3,What is the origin of the name ` Scarlett ' ?
4,What 's the second-most-used vowel in English ?
2,Who was the inventor of silly putty ?
1,What is the highest waterfall in the United States ?
4,Name a golf course in Myrtle Beach .
1,Which two states enclose Chesapeake Bay ?
5,What does the abbreviation AIDS stand for ?
4,What does a spermologer collect ?
0,How many points make up a perfect fivepin bowling score ?
2,Which company that manufactures video-game hardware sells the `` super system '' ?
0,How many Community Chest cards are there in Monopoly ?
3,What do Mormons believe ?
0,When did the neanderthal man live ?
4,In what religion was Isis the nature goddess ?
1,Where do the adventures of `` The Swiss Family Robinson '' take place ?
4,What relative of the racoon is sometimes known as the cat-bear ?
3,How can I register my website in Yahoo for free ?
4,What was cash-conscious Colonel Edwin L. Drake the first to drill ?
0,How many people in the world speak French ?
0,How many inches over six feet is the Venus de Milo ?
3,How do they find or choose witnesses to an execution ?
2,What 1920s cowboy star rode Tony the Wonder Horse ?
4,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?
2,What ISPs exist in the Caribbean ?
3,How do you ask a total stranger out on a date ?
4,What weapon is the mythological character Apollo most proficient with ?
1,What country do the Galapagos Islands belong to ?
3,What is ethology ?
2,Who was the prophet of the Muslim people ?
3,Where did the term `` 86ed '' come from ?
2,Who is Snoopy 's arch-enemy ?
3,What is the nature of learning ?
4,What 's the only color Johnny Cash wears on stage ?
4,What 's the term for a young fox ?
1,What U.S. state lived under six flags ?
3,What is the Kashmir issue ?
1,Where is the Loop ?
3,What does `` extended definition '' mean and how would one write a paper on it ?
1,What country 's capital is Tirana ?
3,What is titanium ?
2,Who do Herb and Tootsie live next door to ?
1,Which city has the oldest relationship as a sisterðcity with Los Angeles ?
3,What is a caldera ?
3,Why do people get calluses ?
1,What are the names of the tourist attractions in Reims ?
3,What are Cushman and Wakefield known for ?
1,What body of water does the Danube River flow into ?
2,Who is the founder of Scientology ?
4,What does the six-footed Musca domestica become when it enters a house ?
3,What is the history of skateboarding ?
2,Who starred in Singing in the Rain and The Singing Nun ?
3,How do I make fuel bricks from recycled newspaper ?
2,What 19th-century painter died in the Marquesas Islands ?
4,The corpus callosum is in what part of the body ?
3,How do I log on to home page at Headquarters U.S. European Command ?
1,"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP ."
4,What is Nebraska 's most valuable resource ?
0,How many species of the Great White shark are there ?
3,What is the origin of head lice ?
1,What is the nickname for the state of Mississippi ?
4,What was the first domesticated bird ?
0,How many villi are found in the small intestine ?
1,What country did King Wenceslas rule ?
4,What is a fear of shadows ?
2,Who were the five Marx brothers ?
0,In which year was New Zealand excluded from the ANZUS alliance ?
0,When did CNN begin broadcasting ?
3,What causes the body to shiver in cold temperatures ?
3,What are bear and bull markets ?
4,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?
3,What is `` dew point '' ?
3,What is the meaning of Jesus ?
2,What company 's logo is a `` W '' in a circle ?
3,What is the definition of a cascade ?
0,When did Rococo painting and architecture flourish ?
1,What country 's national passenger rail system is called Via ?
2,Who invented Make-up ?
3,What is the origin of the word `` attic '' ?
3,What did Delilah do to Samson 's hair ?
4,What kind of animals were in the Paleozoic era ?
2,Which of the following was Rhodes Scholar ?
2,Who comprised the now-defunct comic book team known as the Champions ?
3,How do you make a paintball ?
1,What U.S. state is Fort Knox in ?
4,What is a female rabbit called ?
1,Where is the highest point in Japan ?
3,Where do chihuahuas come from ?
1,Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?
1,What are the world 's four oceans ?
4,What 's the only work by Michelangelo that bears his signature ?
4,What is the largest snake in the world ?
4,In what medium is Stuart Hamblen considered to be the first singing cowboy ?
1,Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?
0,How much money does a back injury lawsuit get ?
4,What 's the common name for acetylsalicylic acid ?
3,What does the Georgetown `` Hoya '' mean ?
1,Where can I find a list of `` classic '' books 5th and 6th graders should read ?
4,Which two products use a tiger as their symbol ?
3,How is the election of a new Pope announced to the world ?
0,How long does it take for your blood to make one complete trip through the body ?
3,How do chickens have baby chicks ?
3,What is the historical relationship of Catholic Church and bingo ?
3,How was the element calcium named ?
2,What crooner joined The Andrews Sisters for Pistol Packin Mama ?
2,What piano company claims its product is the `` Instrument of the immortals '' ?
0,When did the Bounty mutiny take place ?
4,What novel inspired the movie BladeRunner ?
3,What is a transistor ?
4,What is a film starring Jude Law ?
4,What Hollywood dog died in the arms of Jean Harlow in 1932 ?
4,What are the most common elements in the Earth 's crust ?
0,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?"
2,What actress has received the most Oscar nominations ?
3,What are equity securities ?
3,What is gymnophobia ?
0,How many years do fossils take to form ?
1,Where is the Orinoco ?
4,What was the name of the `` Little Rascals '' dog ?
1,"What city boasts Penn 's Landing , on the banks of the Delaware river ?"
4,What Broadway musical was inspired by Cervantes 's Don Quixote ?
3,"What is the origin of the word , JJ ."
0,How many hostages were killed in the Entebbe raid ?
3,How you can raise your IQ ?
5,What does INRI stand for when used on Jesus ' cross ?
2,Who produces Spumante ?
2,Who earns their money the hard way ?
2,Who founded the People 's Temple Commune ?
2,What athlete makes the most money from sports merchandise sales ?
0,How many bends are there in a standard paper clip ?
2,Who discovered electricity ?
4,What part of your body contains the corpus callosum ?
2,Who was the first American in space ?
1,What two South American countries do n't border Brazil ?
4,What album put The Beatles on the cover of Time in 1967 ?
4,"What poem contains the line , `` grow old with me the best is yet to be '' ."
3,What is a dental root canal ?
4,What war did the Wanna-Go-Home Riots occur after ?
0,What is the busiest air travel season ?
4,What 's the colored part of the eye called ?
3,What are hook worms ?
1,Where is the Rose Bowl played ?
2,Which Japanese car maker had its biggest percentage of sale in the domestic market ?
2,Who is the mayor of Marbella ?
1,"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?"
0,In what year did Thatcher become prime minister ?
0,How many months does it take the moon to revolve around the Earth ?
1,Where are the 49 steps ?
0,In what year was De Gaulle elected president of France ?
2,Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?
2,Who directed `` Jaws '' ?
4,On what T.V. show could Tom Terrific be found ?
2,What Indian tribe is F Troop perpetually doing battle with ?
3,Where did Indian Pudding come from ?
3,Why do some clothing labels say `` Use a nonchlorine bleach '' ?
0,How many colonies were involved in the American Revolution ?
1,What is the name of the city that Maurizio Pellegrin lives in ?
1,Where can I find pictorial directions on how to build a very simple treehouse ?
4,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?"
2,What is the name of the managing director of Apricot Computer ?
2,What is the occupation of Nicholas Cage ?
3,Why do horseshoes bring luck ?
3,"What is the 401 , K , plan ?"
3,What causes pneumonia ?
0,What are the three winter months in the southern hemisphere ?
3,What does gringo mean ?
1,What country contains Africa 's northernmost point ?
4,What therapy attempts to elicit the `` primal scream '' ?
1,Where is the Kalahari desert ?
2,Which Ventura County police department seized the largest cocaine shipment in it 's history ?
1,What city is sometimes called Gotham ?
4,What dangles over the tongue from the palate ?
2,Who created Dennis the Menace ?
2,What dummy received an honorary degree from Northwestern University ?
0,When was the first Wall Street Journal published ?
1,What countries have the largest areas of forest ?
3,How do I start a web based business ?
2,Name Alvin 's brothers
3,What is Eagle 's syndrome styloid process ?
3,How did Jayne Mansfield die ?
0,When did the royal wedding of Prince Andrew and Fergie take place ?
2,What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?
2,What explorer was nicknamed Iberia 's Pilot ?
0,CNN began broadcasting in what year ?
4,What is a ball that hits the foul pole called ?
3,What makes hamburgers taste like steakburgers ?
2,Which company created the Internet browser Mosaic ?
4,What are the rites accompanying the circumcision of a newly born-child in Judaism called ?
4,What was the education system in the 1960 's ?
1,What South American city has the world 's highest commercial landing field ?
3,How can I find out which cities have cable-modem access ?
3,What is Betsy Ross famous for ?
0,How many species of sharks are there ?
3,What is `` snoogans '' ?
0,How many people are there in the world ?
4,What shrubs can be planted that will be safe from deer ?
2,What organization 's offices were broken into at Watergate in 1972 ?
3,What is the design of the ship Titanic ?
5,What does S.O.S. stand for ?
4,Name a technique widely used to detect birth defects ?
3,What is the daily requirement of folic acid for an expectant mother ?
3,What is the `` 7-minute cigarette '' ?
4,What four forms does gold occur in ?
0,What is the acreage of the Chappellet vineyard ?
3,How do you correctly say the word ` qigong ' ?
0,When did beethoven die ?
0,How much does a new railroad coal car cost ?
1,What two European countries entered the War of American Independence against the British ?
3,What is the filmmakers collabrative ?
2,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?
3,What caused Harry Houdini 's death ?
2,"Who was the mother of the man who would not be king , the duke of Windsor ?"
0,How many revolutions does a standard LP make in three minutes ?
1,What is the name of the tallest mountain in the world ?
1,Where can I find a review of Nightmare on Elm Street in a film journal ?
4,What 's the slowest Olympic swimming stroke ?
2,What was the name of the first Russian astronaut to do a spacewalk ?
4,What disease is transmitted by the Anopheles mosquito ?
4,What rum is so `` mixable '' it is a one-brand bar ?
